ADM2_PCODE,ADM_PCODE,female_pop,children_u5,female_u5,elderly,pop_u15,female_u15
ID6107,ID6107,131538,26460,12972,9684,77788,38170
ID3512,ID3512,0,0,0,0,0,0
ID3404,ID3404,0,0,0,0,0,0
ID1303,ID1303,200628,38704,18955,18362,115365,56648
ID1310,ID1310,78757,15105,7408,7569,44535,21881
ID7312,ID7312,0,0,0,0,0,0
ID9107,ID9107,60441,14803,7231,2534,41118,20017
ID9106,ID9106,5227,1281,626,220,3555,1731
ID3314,ID3314,0,0,0,0,0,0
ID3213,ID3213,0,0,0,0,0,0
ID3202,ID3202,0,0,0,0,0,0
ID6206,ID6206,0,0,0,0,0,0
ID3311,ID3311,0,0,0,0,0,0
ID5301,ID5301,0,0,0,0,0,0
ID5317,ID5317,0,0,0,0,0,0
ID5316,ID5316,0,0,0,0,0,0
ID5302,ID5302,0,0,0,0,0,0
ID5204,ID5204,0,0,0,0,0,0
ID5207,ID5207,0,0,0,0,0,0
ID3211,ID3211,0,0,0,0,0,0
ID3529,ID3529,0,0,0,0,0,0
ID9427,ID9427,9280,2078,993,233,6585,3091
ID6309,ID6309,0,0,0,0,0,0
ID5102,ID5102,0,0,0,0,0,0
ID7305,ID7305,258,59,29,29,174,86
ID9109,ID9109,25919,5824,2784,667,18366,8632
ID6503,ID6503,0,0,0,0,0,0
ID7318,ID7318,0,0,0,0,0,0
ID6310,ID6310,0,0,0,0,0,0
ID1305,ID1305,183414,35386,17330,16777,105482,51795
ID6301,ID6301,0,0,0,0,0,0
ID3603,ID3603,0,0,0,0,0,0
ID1802,ID1802,0,0,0,0,0,0
ID1507,ID1507,127152,24963,12245,11809,71165,35041
ID1506,ID1506,0,0,0,0,0,0
ID1203,ID1203,151765,29474,14458,15030,87613,43034
ID1204,ID1204,210048,39042,19114,26976,119864,58743
ID1205,ID1205,146610,27602,13514,18222,84268,41302
ID6305,ID6305,0,0,0,0,0,0
ID3206,ID3206,0,0,0,0,0,0
ID1508,ID1508,201289,38423,18844,20131,112689,55393
ID3328,ID3328,0,0,0,0,0,0
ID9104,ID9104,21539,4824,2304,541,15285,7174
ID9103,ID9103,3382,758,362,85,2400,1127
ID3323,ID3323,0,0,0,0,0,0
ID5304,ID5304,0,0,0,0,0,0
ID5305,ID5305,0,0,0,0,0,0
ID1206,ID1206,79417,16695,8180,6858,48647,23863
ID7209,ID7209,0,0,0,0,0,0
ID7206,ID7206,18232,3780,1853,1579,11419,5603
ID9418,ID9418,739,165,79,19,524,246
ID7326,ID7326,17355,3870,1896,1545,11268,5522
ID3503,ID3503,0,0,0,0,0,0
ID3523,ID3523,0,0,0,0,0,0
ID1812,ID1812,115923,20563,10088,12583,62755,30860
ID1808,ID1808,111322,19214,9425,13026,58866,28946
ID3504,ID3504,0,0,0,0,0,0
ID3288,ID3288,0,0,0,0,0,0
ID3388,ID3388,0,0,0,0,0,0
ID7313,ID7313,0,0,0,0,0,0
ID7407,ID7407,0,0,0,0,0,0
ID9426,ID9426,21513,4818,2301,541,15267,7166
ID1807,ID1807,200671,35643,17486,21593,108753,53474
ID3312,ID3312,0,0,0,0,0,0
ID3307,ID3307,0,0,0,0,0,0
ID9416,ID9416,0,0,0,0,0,0
ID9432,ID9432,0,0,0,0,0,0
